PlayerName,Year,Stage,STG,GC,PC,KOM,SPR,SUM,BKY,ASS,Total
Christopher Froome,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Christopher Froome,2015,Stage 2,60,11,-,-,-,-,-,2,73,
Christopher Froome,2015,Stage 3,150,25,4,3,-,-,-,2,184,
Christopher Froome,2015,Stage 4,-,22,1,2,-,-,-,-,25,
Christopher Froome,2015,Stage 5,-,22,-,2,-,-,-,-,24,
Christopher Froome,2015,Stage 6,-,22,-,1,-,-,-,-,23,
Christopher Froome,2015,Stage 7,-,25,-,1,-,-,-,-,26,
Christopher Froome,2015,Stage 8,50,25,-,-,-,-,-,-,75,
Christopher Froome,2015,Stage 9,40,25,-,-,-,-,-,-,65,
Christopher Froome,2015,Stage 10,200,25,1,10,-,30,-,10,276,
Christopher Froome,2015,Stage 11,40,25,1,10,-,2,-,6,84,
Christopher Froome,2015,Stage 12,30,25,1,10,-,-,-,4,70,
Christopher Froome,2015,Stage 13,70,25,-,10,-,-,-,4,109,
Christopher Froome,2015,Stage 14,-,25,-,10,-,-,-,4,39,
Christopher Froome,2015,Stage 15,-,25,-,10,-,-,-,4,39,
Christopher Froome,2015,Stage 16,-,25,1,10,-,-,-,-,36,
Christopher Froome,2015,Stage 17,-,25,1,10,-,-,-,2,38,
Christopher Froome,2015,Stage 18,20,25,1,3,-,-,-,2,51,
Christopher Froome,2015,Stage 19,120,25,2,6,-,21,-,-,174,
Christopher Froome,2015,Stage 20,80,25,2,10,-,14,-,4,135,
Christopher Froome,2015,Stage 21,-,25,1,10,-,-,-,4,40,
Christopher Froome,2015,Final Classifications,-,500,30,100,-,-,-,30,660,
Peter Sagan,2015,Stage 1,-,2,-,-,-,-,-,-,2,
Peter Sagan,2015,Stage 2,150,18,6,-,4,-,-,-,178,
Peter Sagan,2015,Stage 3,-,15,6,-,4,-,-,-,25,
Peter Sagan,2015,Stage 4,120,16,6,-,3,-,-,2,147,
Peter Sagan,2015,Stage 5,150,18,6,-,6,-,-,2,182,
Peter Sagan,2015,Stage 6,150,18,6,-,4,-,-,2,180,
Peter Sagan,2015,Stage 7,120,22,6,-,4,-,-,2,154,
Peter Sagan,2015,Stage 8,100,22,10,-,2,-,-,4,138,
Peter Sagan,2015,Stage 9,25,18,10,-,-,-,-,4,57,
Peter Sagan,2015,Stage 10,-,-,6,-,4,-,-,-,10,
Peter Sagan,2015,Stage 11,-,-,10,-,12,-,-,8,30,
Peter Sagan,2015,Stage 12,-,-,10,-,10,-,-,2,22,
Peter Sagan,2015,Stage 13,150,-,10,-,1,-,-,2,163,
Peter Sagan,2015,Stage 14,80,-,10,-,15,-,10,2,117,
Peter Sagan,2015,Stage 15,100,-,10,-,15,-,10,2,137,
Peter Sagan,2015,Stage 16,150,-,10,-,15,-,-,2,177,
Peter Sagan,2015,Stage 17,-,-,10,-,10,-,-,-,20,
Peter Sagan,2015,Stage 18,-,-,10,-,-,-,-,-,10,
Peter Sagan,2015,Stage 19,-,-,10,-,-,-,-,4,14,
Peter Sagan,2015,Stage 20,-,-,10,-,-,-,-,2,12,
Peter Sagan,2015,Stage 21,60,-,10,-,-,-,-,2,72,
Peter Sagan,2015,Final Classifications,-,-,100,-,-,-,-,20,120,
Nairo Quintana,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Nairo Quintana,2015,Stage 2,-,-,-,-,-,-,-,-,0,
Nairo Quintana,2015,Stage 3,40,4,-,-,-,-,-,-,44,
Nairo Quintana,2015,Stage 4,-,4,-,-,-,-,-,-,4,
Nairo Quintana,2015,Stage 5,-,4,-,-,-,-,-,-,4,
